[2024-12-04 22:10:22] Added parcel with ID: X020 with default status: COLLECTING, Fee: 12.0, Discount: 0.0, Total Price: 12.0
[2024-12-04 22:10:22] Added parcel with ID: X212 with default status: COLLECTING, Fee: 122.0, Discount: 0.0, Total Price: 122.0
[2024-12-04 22:10:22] Added parcel with ID: X999 with default status: COLLECTING, Fee: 38.0, Discount: 0.0, Total Price: 38.0
[2024-12-04 22:10:22] Added parcel with ID: X888 with default status: COLLECTING, Fee: 31.0, Discount: 0.0, Total Price: 31.0
[2024-12-04 22:10:22] Added parcel with ID: X555 with default status: COLLECTING, Fee: 15.0, Discount: 5.0, Total Price: 15.0
[2024-12-04 22:10:22] Added parcel with ID: X111 with default status: COLLECTING, Fee: 12.0, Discount: 0.0, Total Price: 12.0
[2024-12-04 22:10:22] Added parcel with ID: X666 with default status: COLLECTING, Fee: 22.0, Discount: 0.0, Total Price: 22.0
[2024-12-04 22:10:22] Added parcel with ID: X333 with default status: COLLECTING, Fee: 16.0, Discount: 0.0, Total Price: 16.0
[2024-12-04 22:10:22] Added parcel with ID: X222 with default status: COLLECTING, Fee: 14.0, Discount: 0.0, Total Price: 14.0
[2024-12-04 22:10:22] Added parcel with ID: X344 with default status: COLLECTING, Fee: 14.0, Discount: 0.0, Total Price: 14.0
[2024-12-04 22:10:22] Added parcel with ID: X123 with default status: COLLECTING, Fee: 38.0, Discount: 0.0, Total Price: 38.0
[2024-12-04 22:10:22] Added parcel with ID: X333 with default status: COLLECTING, Fee: 251.0, Discount: 0.0, Total Price: 251.0
[2024-12-04 22:10:22] Added parcel with ID: X235 with default status: COLLECTING, Fee: 19.0, Discount: 5.0, Total Price: 19.0
[2024-12-04 22:10:22] Added parcel with ID: X565 with default status: COLLECTING, Fee: 73.0, Discount: 5.0, Total Price: 73.0
[2024-12-04 22:10:22] Added parcel with ID: X009 with default status: COLLECTING, Fee: 26.0, Discount: 0.0, Total Price: 26.0
[2024-12-04 22:10:23] Print the Parcel Map
[2024-12-04 22:10:25] Print the Collected Parcel List
